2021-02-05/17:21:37		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-02-05/17:21:38		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-02-05/17:21:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-02-05/17:21:40		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-02-05/17:21:41		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-02-05/17:21:41		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-02-05/17:21:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-02-05/17:21:44		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-02-05/17:21:45		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-02-05/21:38:22		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-02-05/21:38:23		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-02-05/21:38:24		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-02-05/21:38:24		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-02-05/21:38:25		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-02-05/21:38:25		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-02-05/21:38:26		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-02-05/21:38:26		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-02-05/21:38:26		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-02-05/21:58:51		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-02-05/21:58:51		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-02-05/21:58:52		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-02-05/21:58:52		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-02-05/21:58:52		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-02-05/21:58:53		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-02-05/21:58:53		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-02-05/21:58:54		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-02-05/21:58:54		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-02-05/22:34:53		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-02-05/22:34:54		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-02-05/22:34:55		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-02-05/22:34:56		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-02-05/22:34:57		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-02-05/22:34:57		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-02-05/22:34:59		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-02-05/22:35:00		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-02-05/22:35:01		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-02-06/07:52:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-02-06/07:52:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-02-06/07:52:36		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-02-06/07:52:36		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-02-06/07:52:37		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-02-06/07:52:38		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-02-06/07:52:39		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-02-06/07:52:40		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-02-06/07:52:41		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-02-27/00:33:07		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-02-27/00:33:08		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-02-27/00:33:09		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-02-27/00:33:10		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-02-27/00:33:11		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-02-27/00:33:11		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-02-27/00:33:13		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-02-27/00:33:14		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-02-27/00:33:14		 wafer_29012020_050617.csv: File Transformed successfully!!
